date,instrument,contract,reason,qty,open,high,low,settle,hypothetical_fill,first_day_pnl,five_day_pnl
2022-10-10,AP,AP2301.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,6,8399.0,8400.0,7991.0,8160.0,8401.0,-14460.0,-11580.0
2022-10-10,JD,JD2301.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-825,4388.0,4518.0,4388.0,4472.0,4386.0,-354750.0,305250.0
2022-11-28,CF,CF2301.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,17,13495.0,13500.0,13095.0,13265.0,13505.0,-20400.0,-15725.0
2022-12-19,M,M2301.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,35,4297.0,4297.0,4252.0,4272.0,4299.0,-9450.0,37450.0
2022-12-20,M,M2301.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-350,4258.0,4316.0,4258.0,4287.0,4256.0,-108500.0,-378000.0
2023-01-03,RB,RB2305.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,67,4100.0,4100.0,4016.0,4044.0,4101.0,-38190.0,-77720.0
2023-01-30,AL,AL2303.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,130,19485.0,19485.0,18865.0,19070.0,19490.0,-273000.0,-640250.0
2023-03-27,AP,AP2305.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,107,8787.0,8787.0,8401.0,8547.0,8789.0,-258940.0,-123050.0
2023-04-24,RU,RU2309.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,79,11900.0,11900.0,11645.0,11720.0,11910.0,-150100.0,-79000.0
2023-05-04,SC,SC2306.INE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-12,488.0,499.2,488.0,494.5,487.8,-80399.99999999987,-869999.9999999993
2023-07-17,AL,AL2308.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,912,18370.0,18370.0,18165.0,18220.0,18375.0,-706800.0,-1915200.0
2023-07-24,SR,SR2309.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-353,6784.0,6899.0,6783.0,6845.0,6782.0,-222390.0,-490670.0
2023-08-07,FG,FG2309.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,238,1867.0,1867.0,1795.0,1824.0,1869.0,-214200.0,-818720.0
2023-09-21,T,T2312.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-5,101.695,101.905,101.695,101.86,101.69,-8500.000000000085,-18250.000000000455
2023-12-11,FG,FG2405.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,272,1958.0,1958.0,1881.0,1915.0,1960.0,-244800.0,-163200.0
2024-01-12,AL,AL2403.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,709,19080.0,19085.0,18935.0,19005.0,19085.0,-283600.0,301325.0
2024-02-05,SP,SP2405.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-19,5600.0,5690.0,5598.0,5644.0,5596.0,-9120.0,-24320.0
2024-02-21,LH,LH2403.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,72,13390.0,13400.0,13210.0,13300.0,13400.0,-115200.0,241920.0
2024-02-22,LH,LH2405.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-5,14310.0,14805.0,14310.0,14545.0,14300.0,-19600.0,-5600.0
2024-03-18,LH,LH2405.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-2,15135.0,15560.0,15130.0,15375.0,15125.0,-8000.0,-1760.0
2024-04-01,T,T2406.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,7,103.94,103.94,103.75,103.785,103.945,-11199.999999999762,-13649.999999999523
2024-04-22,AL,AL2406.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-99,20380.0,20835.0,20380.0,20575.0,20375.0,-99000.0,-240075.0
2024-05-06,RB,RB2410.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-135,3672.0,3738.0,3672.0,3712.0,3671.0,-55350.0,4050.0
2024-05-24,AL,AL2407.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-7,20770.0,20980.0,20770.0,20890.0,20765.0,-4375.0,-2100.0
2024-06-03,M,M2409.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,2,3508.0,3509.0,3437.0,3466.0,3510.0,-880.0,1780.0
2024-06-17,LH,LH2409.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,26,17880.0,17880.0,17610.0,17710.0,17890.0,-74880.0,104000.0
2024-06-24,UR,UR2409.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,70,2094.0,2094.0,2065.0,2075.0,2096.0,-29400.0,-19600.0
2024-07-29,C,C2409.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,1888,2357.0,2357.0,2320.0,2340.0,2359.0,-358720.0,868480.0
2024-08-21,FG,FG2409.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,698,1248.0,1249.0,1231.0,1239.0,1250.0,-153560.0,-125640.0
2024-08-30,C,C2411.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,3,2345.0,2345.0,2327.0,2336.0,2347.0,-330.0,-990.0
2024-10-08,C,C2411.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,241,2220.0,2220.0,2168.0,2193.0,2222.0,-69890.0,-207260.0
2024-12-16,FG,FG2501.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,610,1229.0,1230.0,1197.0,1216.0,1231.0,-183000.0,-402600.0
2024-12-18,C,C2501.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,2592,2088.0,2088.0,2064.0,2073.0,2090.0,-440640.0,803520.0
2024-12-20,T,T2503.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-8,108.66,108.9,108.66,108.86,108.655,-16399.99999999986,9199.99999999959
2025-01-13,AP,AP2505.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-292,6659.0,6880.0,6659.0,6767.0,6657.0,-321200.0,-919800.0
2025-03-10,RU,RU2505.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,2,17320.0,17325.0,17055.0,17190.0,17330.0,-2800.0,8500.0
2025-04-07,RU,RU2505.SHF,DAILY_ONE_PRICE_DIRECTIONAL_PROXY_REJECT,-189,15455.0,15455.0,15455.0,15455.0,15445.0,-18900.0,-2664900.0
2025-04-08,RU,RU2505.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-189,14100.0,15000.0,14100.0,14735.0,14090.0,-1219050.0,-4866750.0
2025-04-09,UR,UR2505.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-28,1785.0,1844.0,1784.0,1813.0,1783.0,-16800.0,-63280.0
2025-04-15,AL,AL2505.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,654,19785.0,19785.0,19615.0,19690.0,19790.0,-327000.0,-163500.0
2025-04-17,FG,FG2505.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,770,1156.0,1157.0,1136.0,1147.0,1158.0,-169400.0,385000.0
2025-04-28,UR,UR2509.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-722,1750.0,1784.0,1750.0,1772.0,1748.0,-346560.0,-288800.0
2025-05-19,P,P2509.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-17,7942.0,8044.0,7942.0,8006.0,7938.0,-11560.0,-3060.0
2025-05-21,T,T2509.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,275,108.895,108.895,108.72,108.805,108.89999999999999,-261249.9999999578,-577499.9999999828
2025-06-16,C,C2507.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,2425,2380.0,2381.0,2358.0,2369.0,2382.0,-315250.0,-751750.0
